sgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
sems kyi de nyid|L'esprit en soi, L'esprit en lui-même, La nature de l'esprit, L'ainsité (ou ainséité) de l'esprit, La réalité fondamentale de l'esprit,
sems kyi chos nyid|L'esprit en soi, L'esprit en lui-même, La nature de l'esprit, L'ainsité (ou ainséité) de l'esprit, La réalité fondamentale de l'esprit,
sems pa|Activité de l'esprit «du coté de l'esprit qui active», Activation de l'esprit, Penser, L'action de penser, Appréhender (saisir par la pensée ou par les sens) «Cognitionner», Concevoir, Réflechir, Conceptualiser, Mentaliser, Observer,
sems rgyud|La disposition naturelle de l'esprit (d'être doux, agité, paisible, discipliné,.) La continuité de l'esprit, le continuum de l'esprit,
sems skyes|Vishnou
sems tsam rnam bden pa|Un spiritualiste réaliste, Un spiritualiste pro-réalilté Personne assertant la perspective spiritualiste pour laquelle ce qui apparaît comme apparences  est réel (existe réellement / existe en réalité)
sems tsam|Perspective spiritualiste,  Un spiritualiste. Le spiritualisme, Le «rien qu'esprit», Rien que l'esprit, Les idéalistes, L'idéalisme,
sems tsam pa|Perspective spiritualiste,  Un spiritualiste. Le spiritualisme, Le «rien qu'esprit», Rien que l'esprit, Les idéalistes, L'idéalisme,
seng ge|Lion, Le roi des animaux,
seng nge ba|Clair, pur, immaculée, Limpide, lucide,
ser sna|Envie, Possessivité, Avidité, Avarice, Convoitise, Cupidité, Concupisence
sgo|Porte, portail,
sgo nas|Au moyen de
sgom lam|La voie de l'habitude
sgoms pa|S'entraîner Méditer Entraînement, Méditation
bsgom pa|S'entraîner Méditer Entraînement, Méditation
sgrib gnyis|Les deux voiles
sgrib pa|Voile
sgrims lhod med pa|Sans tension ni relâchement
sgro 'dogs|Surimposition, exagération
sgro 'dogs|Surimposition, exagération
sgro skur|Affirmation de l'existence de ce qui n'est pas et négation de l'existence de ce qui est. Exagérations dans l'affirmation ou la négation de l'existence  Exagération de l'existence ou de la non existence.
sgro btags dang skur 'debs|Affirmation de l'existence de ce qui n'est pas et négation de l'existence de ce qui est. Exagérations dans l'affirmation ou la négation de l'existence  Exagération de l'existence ou de la non existence.
sgro bkur|Affirmation de l'existence de ce qui n'est pas et négation de l'existence de ce qui est. Exagérations dans l'affirmation ou la négation de l'existence  Exagération de l'existence ou de la non existence.
sgrub brgyud shing rta brgyad|Les huit véhicules des lignées de pratiques
sgrub pa|Pratiquer, Pratique, Accomplir, Affirmer, Etablir
sgrub pa bka' brgyad|Les pratiques des huit logos
sgyu lus|Corps illusoir
sgyu ma|Illusion magique mirage
sgyu 'phrul|Projection magique Illusion.
sha chen|La grande viande (humaine)
sha lnga|Les cinq viandes, Les cinq chaires,
sha za|Manger de la viande, Mangeur de viande, Carnivore, S'il s'agit de viande humaine:  Ogre, ogresse, Cannibale,
sham bha la|Shambala, Ce dit de «ce qui détient la source du bonhuer».
sham thabs|Jupe monastique, «Ce qui fait pour le bas»
gsham thabs|Jupe monastique, «Ce qui fait pour le bas»
shangs pa|Shangpa, Nom de la tradition Shangpa Kagyu
shar|L'Est, L'orient, Le levant,
shar ba|Se lever, Apparaître, S'élever, Emerger, Briller,
'char ba|Se lever, Apparaître, S'élever, Emerger, Briller,
shar gsum mkhan po|Les trois savants orientaux (venu de l'Est de l'Inde, érudits dont les écrits sont la base du madyamaka svatantrika: Jnânagarbha (slob dpon ye shes snying po),  Shântarakshita (zhiba 'tshos) et Kamalishîla (ka ma la sh'i la)
shar sgom|Méditation instantanée, rapide (faite en imaginant simplement et vite ce qui est médité)
sher phyin|Prajnâpâramitâ La perfection d'intelligence transcendante
shes rab kyi pha rol tu phyin pa|Prajnâpâramitâ La perfection d'intelligence transcendante
shes bya|Connu, Object de connaissance, Connaissances,
shes bya mdzod|«Le compendium qui embrasse toutes les connaissances», L'encyclopédie,
shes bya kun khyab|«Le compendium qui embrasse toutes les connaissances», L'encyclopédie,
shes bya kun khyab mdzod|«Le compendium qui embrasse toutes les connaissances», L'encyclopédie,
shes bya'i sgrib pa|Le voile de ce qui est connu, le voile de la connaissance duelle, le voile de la dualité, le voile de la cognition duelle,
shes bzhin|Attention, Vigilance, Attention vigilante, Vigilance attentive, Etat connaissant, vigile, lucide, de lucidité, de vigilance, d'attention, Observation répétée du corps et de l'esprit,
shes pa|Intelligence, Intellect, Connaissance, Expérience, Cognition, Connaisseur, Expérimentateur, Esprit, Comprendre, Expérimenter,
shes rab|Intelligence, Connaissance, Sapience, Avec un des qualificatifs: - excellente, - supérieure, - transcendante, Super -
shes rab rnam pa gsum|Les trois types d'intelligences (de l'écoute, de la réflexion et de l'expérimentation)
shes rab gsum|Les trois types d'intelligences (de l'écoute, de la réflexion et de l'expérimentation)
shes rab rnam gsum|Les trois types d'intelligences (de l'écoute, de la réflexion et de l'expérimentation)
shes rgyud|La continuité (le cours, le continuum) de la cognition, de l'esprit, de la conscience. La disposition naturelle de l'esprit
shi ba|Etre mort,
shig|Poux, puce, Mesure de longueur de l'Inde ancienne Une fois, en un endroit, Article indéfini: un, une, Marque de l'impératif après le suffixe sa) Impératif de 'jig pa
shig ge ba|Tout délié Tout relaché,  Serpentant, Zig zagant Dessin de craquelures
shin sbyangs|Grand entraînement, Litt.: être très entraîné
shin tu sbyangs ba|Grand entraînement, Litt.: être très entraîné
shin sbyangs yang dag byang chub kyi yan lag|Le grand entraînement (comme) branche de l'éveil.
shin tu rgyas pa|Très vaste, Très détaillé, extensif,
shing rta|Char, Chariot, Voiture, Véhicule, Engin à roues,  Moyen de transport, Méthode de progressioin Litt.: «Cheval de bois»
shing rta chen po brgyad|Les huit grands véhicules (de pratique), Les huit grandes traditions (ou transmissions) de pratiques
shing rta'i srol gnyis|Les traditions des deux véhicules (des deux méthodes de progression).
shis brjod|Dire une formule propice, de propiciation, Parole propice,
shis pa|Excellent, Vertueux, Bon, Propice,
shug gyis|Avec force, Venir de sa propre force, naturellement, de soi-même,
shug la byung ba|Avec force, Venir de sa propre force, naturellement, de soi-même,
shugs|Force,
shugs bstan|Quelque chose qui est exposé de façon indirecte, implicite Quelque chose qui est  implicite dans un énoncé
sing nge ye re ba|Très clair, limpide,
skabs|Occasion, opportunité, moment ou,
sku|Corps
sku gsum|Les trois corps, les trois dimensions
skyabs 'gro|Entrer en refuge, Aller en refuge,
skyabs su 'gro ba|Entrer en refuge, Aller en refuge,
skye ba|Naître Naissance, venir à l'existence
skye ba'i sprul sku|Corps d'émanation  Corps de naissance.
skye 'gags|Naissance et mort, début et fin,
skye 'gags med pa|Sans naissance ni mort, sans début ni fin.
skye gnas med pa|Sans naissance ni demeure.
skye mched|Les domaines, Domaines sensoriels, Les domaines de naissance et de développement (des l'expériences sensorielles)
skye med|Sans naissance,
ma skyes|Sans naissance,
skyo ba|Triste, désenchanté
skyo shas|Désillusionné, dégoûté
slob dpon|Maître, Maître d'étude, Professeur, Enseignant, Ami spirituel,
slob ma|Disciple, Etudiant, Elève, Apprentis,
bu slob|Disciple, Etudiant, Elève, Apprentis,
slob pa|Apprendre, Etudier, Enseigner, Transmettre, Apprentissage, Transmission, Ce qui est enseigné, Conseil, Instructions,
slu ba|Tromper, Illusionner,
sman|Médecine Médicament,
smin ma|Sourcils,
smin pa|Murir, Maturer,
smin sgrol|Murir et libérer, Les initiations qui font murir et les instructions qui libérent.
dbang khrid|Murir et libérer, Les initiations qui font murir et les instructions qui libérent.
smon 'jug|Aspiration et application (les deux bodhicitta relatives)
smon lam|Souhaits, Aspiration,
smon pa|Souhaiter, Aspirer,
smon pa med pa|Sans aspiration, Sans intention,
smon sems|Bodhicitta en aspiration,
smon pa'i sems bskyed |Bodhicitta en aspiration,
smos ci dgos|Va sans dire,
smos ci 'tshal|Va sans dire,
smra ba|Dire, Enoncer, Professer,
smra bsam brjod med|Indissible, impensable et inexprimable,
smra bsam brjod las 'das pa|Indissible, impensable et inexprimable,
smra bsam las 'das pa|Indissible, impensable et inexprimable,
bsam yul 'das pa|Indissible, impensable et inexprimable,
bsam brjod med pa|Indissible, impensable et inexprimable,
bsam brjod 'das pa|Indissible, impensable et inexprimable,
smyon pa|Perturbé, Dérangé, Fou,
smyung ba|Jeûner,
smyung bar gnas pa|Jeûner,
smyung gnas|Jeûner,
sna tshogs|Varié, Diversité, Multiplicité,
snang ba|Apparences, Clartés, Lumières Apparaître, Etre, Rester,
snang ba bzhi|Les quatre luminosités, (étapes de theuguèl)
snang mched thob gsum|Clarté, augmentation et proche obtention, Les trois phases de la dissolution de la conscience.
snang sems|Les apparences-esprit, L'esprit apparences, Les apparences et l'esprit
snang srid|"Toute possibilité d'apparence", Toutes apparences possibles,
snang tshad srid tshad|"Toute possibilité d'apparence", Toutes apparences possibles,
snang tshul|Mode d'apparition
snang yul|Objet apparent
snang ba'i yul|Objet apparent
snga phyi med pa|Sans avant ni après
snga phyi med pa|Sans avant ni après
sngags|Mantra Parole efficiente Charme
sngon 'gro|Préliminaires Préparations
sngon du 'gro ba|Préliminaires Préparations
snod bcud|Habitat, habitant Habitacle habitant, Le monde et les vivants.
snod kyi 'jig rten dang bcud kyi sems can|Habitat, habitant Habitacle habitant, Le monde et les vivants.
snang srid|Habitat, habitant Habitacle habitant, Le monde et les vivants.
snyen rgyud|Lignée orale
snyigs ma lnga|Les cinq résidus, Les cinq dégénérescences
snyigs ma'i dus|L'époque résiduelle L'époque dégénérée
snying|Cour, essence
snying po|Essence, cour du sujet, quintessence, essentiel,
snying rje|Bonté, Bon cour, compassion, amour
snying rje gsum|Les trois bontés, compassions
snying rje chen po|Immense bonté Immense compassion
snyoms 'jug|Contemplation équanime
snyoms par 'jug pa|Contemplation équanime
snyoms par bzhugs pa|Contemplation équanime
so ma|Neuf,  Nouveau, Nouveauté, Pur, Immaculé, Vierge, Virginalité, Immédiateté,
so so|Chacun, Chaque, L'un et l'autre distinctement, L'un et l'autre séparément, Sans être le même, Différemment, Comme étant distinct, différent, séparé
so sor|Chacun, Chaque, L'un et l'autre distinctement, L'un et l'autre séparément, Sans être le même, Différemment, Comme étant distinct, différent, séparé
so so rang rig|L'intelligence qui comprend en soi, L'auto intelligence qui distingue en elle-même, L'intelligence réflexive qui distingue en elle-même (ce qu'elle expérimente)
so so rang rig pa'i ye shes|La gnose de l'intelligence qui comprend chaque (chose) en elle-même (en soi),  La gnose de l'intelligence qui se comprend distinctememt en elle-même, La gnose auto intelligente,
so so skye bo|Personne ordinaire (qui n'a pas réalisée la voie supérieure)
so skye|Personne ordinaire (qui n'a pas réalisée la voie supérieure)
so sor rtogs pa'i shes rab|La connaissance supérieure qui distingue dans l'immédiateté.
so sor rtogs pa'i ye shes|La gnose de la distinction immédiate, La gnose qui distingue en immédiateté,  La gnose du discernement immédiat,
so so rtogs pa'i ye shes|La gnose de la distinction immédiate, La gnose qui distingue en immédiateté,  La gnose du discernement immédiat,
so so rtog pa'i ye shes|La gnose de la distinction immédiate, La gnose qui distingue en immédiateté,  La gnose du discernement immédiat,
so sor yang dag pa'i rig pa bzhi|Les quatre intelligences parfaite distinguant.
so thar gyi sdom ldan bzhi|Les quatre (types de) détenteurs de voeux pour la libération personnelle,
so thar rigs brgyad|Les huit types de voeux de libération personelle,
so thar ris brgyad|Les huit types de voeux de libération personelle,
so thar sdom brgyad|Les huit types de voeux de libération personelle,
so thar|Voeux de libération individuelle, Voeux de libération personelle,
so sor thar pa|Voeux de libération individuelle, Voeux de libération personelle,
so so thar pa|Voeux de libération individuelle, Voeux de libération personelle,
so thar gyi sdom pa|Voeux de libération individuelle, Voeux de libération personelle,
so sor thar pa'i sdom pa|Voeux de libération individuelle, Voeux de libération personelle,
so so thar pa'i sdom pa|Voeux de libération individuelle, Voeux de libération personelle,
sor bzhag|Laissé tel quel, Laisser tel que c'est, Laissé en place, Laissé à sa place Laisser sur place,
sor gdub|Bague
spang blang|Abandon et saisie, Acceptation ou rejet, Prendre ou jeter, Elimination ou aquisition
blang dor|Abandon et saisie, Acceptation ou rejet, Prendre ou jeter, Elimination ou aquisition
spong len|Abandon et saisie, Acceptation ou rejet, Prendre ou jeter, Elimination ou aquisition
spang blang 'khor 'das med|Sans abandon ou saisie, samsara ou nirvâna.
spang bya|Ce qui est: à abandonner, à rejeter, à délaisser,
spang gnyen|Quelque chose  à abandonner et son antidote.
spang thob|L'abandon (des souffrances) et l'obtention (du bonheur, du bien-être)
spang thob bral ba|Libre d'abandon et d'obtention
spangs rtogs|Elimination ou réalisation
spang rtogs|Elimination ou réalisation
spangs thob med pa|Sans rien d'abandonné ou d'obtenu Sans abandon ou obtention.
spobs pa|Assurance, Confiance en soi
spong ba|Abandonner, Renoncer,
spang ba|Abandonner, Renoncer,
spro ba|Rayonnement, Diffusion, Emission, Emanation, Rayonner, Emettre, Diffuser, Emaner, Joie, Joyeux, Heureux,
bag phebs|Rayonnement, Diffusion, Emission, Emanation, Rayonner, Emettre, Diffuser, Emaner, Joie, Joyeux, Heureux,
spro bsdus|Diffusion-absorption, Emission-résorption, Emanation-résorption, Expansion-contraction, Centrifuge-centripéte
spro bsdu|Diffusion-absorption, Emission-résorption, Emanation-résorption, Expansion-contraction, Centrifuge-centripéte
 'phro 'du|Diffusion-absorption, Emission-résorption, Emanation-résorption, Expansion-contraction, Centrifuge-centripéte
spros bcas|Avec des projections, Avec des élaborations, Avec des productions (mentales)
spros med|Libre d'élaboration, Libre de conception, Libre de projection, Libre de toutes fabrication conceptuelle.
spros bral|Libre d'élaboration, Libre de conception, Libre de projection, Libre de toutes fabrication conceptuelle.
spros pa|Projections, Emanations, Conceptions, Elaborations, Pensées,
spros pa'i mtha' brgyad|Les huit types de conceptions, d'élaborations mentales, Les huit catégories conceptuelles, Les huit déterminations projectives (des projections du mental),
sprul pa|Emanation, Projection, Emaner, Projeter,
sprul pa'i 'khor lo|Chakra des projections
sprul sku|Nirmanakaya, Corps d'émanation, Trulkou,
spu gri thang|La plaine de rasoirs
spyan 'dren|Invitation, Invocation, Evocation, Inviter, Invoquer, Evoquer
spyan lnga|Les cinq yeux
spyi blugs|Onction générale (vase qui sert à)
spyi don|Sens général, Sujet général, Activité générale, publique Bien publique,
spyi gtsug|Le sommet de la tête,
spyi gzugs|La forme générale, (qui réunit en elle toutes les autres)
spyod lam|Type d'activités,
spyod pa|Pratiquer, Faire, s'engager dans, Agir dans, S'adonner à Se conduire, Activités, Conduites, Agissements, Faire l'expérience de Disposer de, Jouir de,
spyod rgyud|Carya tantra, Tantra des comportements
spyod yul|Domaine d'activité, Domaine d'expérience, Domaine,
sras|Enfant, Fils, Prince
bu|Enfant, Fils, Prince
sras mo|Fille, Princesse,
bu mo|Fille, Princesse,
sred med|Sans désir, Sans soif, Sans pulsion,
