'bras bu| Fruit
gsal stong|Clarté vacuité
gsal stong gi ye shes|Sagesse vide et lumineuse
gsal ba|Clarté
sems|Esprit ordinaire, l'esprit pensant
sems kyi gnad|Point clé de l'esprit
sems sde|Série de l'Esprit
sems 'dzin|Fixation de l'esprit
sems bskyed|Développer, cultiver l'Esprit d'Eveil
sems nyid|Nature de l'esprit, l'esprit même
sems can|Etres sensibles
sems phyogs|Direction spirituelle
sems tsam pa|Ecole Cittamâtra, L'esprit seul
seng nge ba|Pur, vif, vibrant
bse ru lta bu'i rang sangs rgyas|Bouddha solitaire semblable à l'unicorne
bsres ba|Intégrer, mêler intimement
sha lnga|Cinq chairs
bshags pa|Confession
sha ra ra 'ol le ba|D'une manière claire et ininterrompue
shar grol|Libétation dès l'émergence, l'émergence libération
shar ba|Emergence
shar ba|Lever, émergence
bshad rgyud|Tantras explicatifs
zhe sdang|colère
gzhal yas khang|Château divin, le palais divin
gzhan don|Bien d'autrui, le but pour les autres
gzhan dbang|Nature dépendante des phénomènes, Paratantra
gzhan dbang|Paratantra, nature dépendante des phénomènes
zhen pa|Attachement
gzhan stong|Ecole du mâdhyamaka Shentong
shes pa|Conscience, connaissance, cognition
shes pa rang rig rang gsal|Conscience interne qui se connaît et s'illumine elle même
shes rab|Conniassance suprême, Connaissance Discernante, prajnâ
shes rab kyi rnal 'byor sgom|Méditation yogique de la connaissance suprême
shes bya|Objet de connaissance, le connaissable
shes bya'i sgrib pa|Obscurcissements qui gênent l'omniscience
shes bya'i sgrib pa|Voiles intellectuels, obscurcissements qui gènent l'omniscience
gzhi|Base
gzhi rdzogs|Perfection de la Base
gzhi rdzogs pa chen po|Dzogchen de la Base
gzhi lam 'bras bu|Base, Voie et le Fruit
gzhi snang|Base en manifestation, les apparences de la Base
gzhi rtsa med pa|Sans fondement ni origine
gzhi med rtsa bral|Sans fondement ni origine
zhi gnas|Quiétude, le calme mental
zhing khams|Champ pur
zhing khams|Terre Pure
shin rta|Char, le pionnier, le précurseur
shin tu rnal 'byor|Atiyoga
zhi khro lha tshogs|Déités Paisibles et Courroucées
zhi ba|Paix, nirvâna
gzhon nu bum sku|Corps du Vase de Jouvence
bzhugs stangs|Posture corporelle
srid pa|Devenir, le possible
srid pa|Existence
srid pa|Samsâra
srid pa'i bar do|Bardo du devenir
srid zhi|Samsâra et nirvâna
srog rlung bzhi|Quatre souffles vitaux
bsod nams kyi tshogs|Accumulation de mérites
so so rang rig|Rigpa naturel discernant
so sor thar pa|Voux de libération individuelle, pratimoksha
so sor rtog pa'i ye shes|Sagesse du Discernement
mtha' grol chen po|Grande libération des limites
thabs dang shes rab gnyis med|Union indivisible des méthodes et de la connaissance
thabs kyi rnal 'byor sgom|Méditation yogique des moyens
thugs srog|Vie du cour, syllabe germe au centre d'une déité
lta sgom spyod gsum|Vue, méditation et action
mtha' las 'das pa|Transcendant toute limite, au delà de toute limite
lta stangs|Mode de regard  	en thod rgal.cf.gzigs stangs
mtha' dbus med pa|Sans limites ni centre
tha dad pa|Différence, distinction
brtags grol|Libétation par le port
rtags kyi ngo sprod|Présentation du signe  	de la nature de l'esprit
brtags pa|Investigation
rtag pa|Eternel, permanent, l'éternité
rtags pa|Signe, marque
rtag pa'i smra ba|Eternalistes
rtag pa'i mtha'|Vue extrême de l'éternalisme
rtag chad|Eternalisme et le nihilisme
thag chod pa|Décider, trancher
tha ma|Fin, les derniers, inférieur
tha mal|Ordinaire
tha mal gyi shes pa|Conscience de l'ordinaire, sagesse de l'ordinaire
thams cad mkhyen pa|Omniscience
tha snyad|Convention, désignation, le nom attribué
tha snyad btags pa|Attribuer une désignation
thabs|Méthode, les moyens habiles
thabs lam|Voie des moyens habiles
thabs shes|Méthodes et connaissance
mthar lhung|Choir dans les extrêmes
mthar phyin|Atteinte ultime, destination finale
thar lam|Voie de la délivrance
mthar thug 'bras bu|Fruit Ultime
lta ba|Vue, l'opinion, le point de vue
chos nyid bar do|Bardo de la Réalité Absolue
bya rgyud|Kriyatantra
cha mthun gyi rgyud|Tantra complémentaire
bya bral|Non action
bya grub ye shes|Sagesse de l' Accomplissement
phyag rgya'i rig 'dzin|Vidyâdhara de la mûdra
phyag mtshan|Symboles et attributs d'une déité
phyag rgya|Symbole, le sceau, le geste symbolique, mudrâ
phyag rgya chen po|Grand Symbole, Grand Sceau, Mahâmudrâ
phyag rgya ma|Mudrâ d'action, karmamudrâ
chags pa|Attachement grossier, charnel
phyag 'tshal|Hommage, prosternation
phyam gcig|Unité, l'un où tout s'égalise
phyam brdal|Unité englobante
phyam me ba|Egal
byang chub sems kyi dkyil 'khor|Mandala de la Bodhicitta
byang chub kyi sems|Esprit d'Eveil, Bodhicitta
byang chub sems dpa'|Héros de l'Esprit d'Eveil, Bodhisattva
'char gzhi|Base d'émergence
'char gzhi yul gyi gnad|Point clé de l'objet dit Base d'émergence  	en thod rgal
'char byed sgo'i gnad|Point clé des portes d'émergence  	en thod rgal
'char tshul|Mode d'émergence
byar med|Sans rien faire
char tshul brgyad|Huit modes d'émergence de la Base
bya rtsol las 'das pa|Dépassement de toute action et de tout effort
bya rtsol med pa|Sans activité ni effort
chad chod|Inconstant, instable
phyad phyod|Vascillant, au mouvement incertain
bye brag smra ba|Ecole Vaibhashika
dpyad sgom|Méditation analytique
chad pa'i mtha'|Vue extrême du nihilisme
mched pa'i ye shes|Sagesse de la croissance. 	'chi kha'i bar do
gcer grol|Libération par l'attention nue, libération par l'observation
phyi nang gsang ba|Extérieur, intérieur et secret
phyi bzung pa'i yul|Objet pershu
gcig dang du bral|Débarrassé de l'un et du multiple
cig car 'jug pa|Entrée instantanée  	dans la visualisation Anuyoga
cig car ba|Pratiquant suprême, qui se réalise instantanément
'chi kha'i bar do|Etat intermédiaire du moment de la mort
gcig tu la bzla ba|Dépassement dans l'unité
phyi nang gi skor|Cycle extérieur et intérieur
bcings grol|Libéré des entraves, délié
'ching grol|Libéré des entraves
bying rgod|Torpeur et agitation
byin rlabs|Bénédictions
byin rlabs cho 'phrul|Prodige miraculeux des bénédictions
phyir mi ldog pa|Irréversible, qui ne retourne pas
phyir mi 'ong|Anâgâmin, ceux qui ne retournent pas
phyir 'ong|âgamin, ceux qui reviennent une fois
phyir gsal|Luminosité extériorisée
ci yang bsgyur du btub pa|Capable de devenir n'importe quoi, l'une des caractéristiques de la Base Primordiale
cir yang khas blang du btub pa|Capable de soutenir n'importe quoi, l'une des caractéristiques de la Base Primordiale
phyi rol gyi yul|Objets extérieurs
phyi ltar ru shan dbye ba|Roushen ou disjonction externe
spyi ti'i skor|Cycle du Tchiti yoga
chos|"Dharma du Bouddha; Phénomène  "
mchog dang thun mong dngos grub|Accomplissement suprême et accomplissements ordinaires
cho ga|Rite, le rituel
spyod rgyud|Câryatantra ou Upayogatantra
chos kyi sku|Corps Absolu, Dharmakâya
chos sku|Corps Absolu, Dharmakâya
chos kyi bdag med|Absence de soi des phénomènes
chos kyi dbyings|Espace Absolu, Dimension Absolue, L'Espace de la Réalité Absolue, Dharmadhâtu
chos dbyings|Espace Absolu, Dimension Absolue, L'Espace de la Réalité Absolue, Dharmadhâtu
bcos bslad med pa|Sans artifices corrupteurs, sans fabrications altératrices
chos rnams|Phénomènes
chos nyid|Réalité Absolue des phénomènes, Dharmata
cog bzhag bzhi|Quatre Laisser être du Khregs chod
chos can|Phénomènes complexes, avec qualification, le phénomène dans son aspect manifesté, dharmin
cho 'phrul|Prodige magique
cho 'phrul bzhi|Quatre prodiges miraculeux du Yogatantra
spyod yul|Sphère d'activité
bcos bsgyur|Corrections modificatrices
bcos bsgyur gnyen po|Antidotes correcteurs
phyogs|Direction géographique
phyogs|Tendance, l'opinion
phyogs 'dzin|S'attacher à une opinion, croyance opiniâtre
phyogs lhung med pa|Sans choir dans les opinions
phyogs ris bral ba|Libre de toute opinion partiale
phyogs ris 'dzin pa|S'attacher aux opinions partiales
phyogs bcu|Dix directions
phyogs char med pa|Sans fragmentation
chos skyong|Protecteurs du Dharma ou Dharmapâlas
bcos ma|Artifice, fabrication
chos nyid mngon sum gyi snang ba|Vision de la Réalité Manifeste  	lère Vision du Thod rgal
chos nyid zad pa'i snang ba|Vision de l'Extinction  	des phénomènes dans la Réalité Absolue, l'Epuisement des phénomènes  	4éme Vision du thod rgal
mchod pa|Offrande
spyod pa|Activité, comportement, conduite, action
spyod pa|Comportement, action, activité
mchod pa'i cho 'phrul|Prodige miraculeux de l'offrande  	yogatantra
chos sprin gyi sa|Nuées du Dharma  	lOème Terre
chu zla lta bu|Comme le reflet de la lune dans l'eau
chu dang cod pan gyi dbang|Transmission de pouvoir de l'eau et du couronnement  	kriyatantra
chu bur lta bu|Comme une bulle
byung gnas 'gro gsum|Origine, le lieu et la destination de l'esprit
chu bo rgyun gyi rnal 'byor|Yoga du fleuve ininterrompu
chos dbyings kyi ye shes|Sagesse de l'Espace Absolu
gcod yul|Pratique du Tchö, découpe
theg pa|Véhicule
theg chen|Grand Véhicule, Mahâyâna
gtad med|Sans but préétabli, sans finalité
bstan du med pa|Indémontrable
rten 'brel|Liens de dépendance  	nidana, les circonstances
rten 'brel bcu gnyis|Douze maillons de l'interdépendance
steng gi 'khor lo|Cakras supérieurs
steng sgo|Portes supérieures, les ouvertures supérieures du corps
lteng ba|Stagnation  	de lteng ka
gtan la bab|Etablir définitivement, fixer le sens d'un enseignement, le mettre par écrit
rten lus kyi gnad|Point clé du corps  	en Thod rgal
brtan pa|Fermeté, stabilité
bstan pa|Démonstration
bstan pa|Enseignement
brten pa'i dkyil 'khor|Mandala du supporté
gtad pa|Avoir un but, se fixer sur, l'objectif, finalité
gter bdag|Détenteur d'un enseignement Trésor
gter ma|Trésor spirituel
gter srung|Déité protectrice du trésor
gter ston|Découvreur de trésors spirituels
ther zug|Inchangeant, immuable, constant, définitif
the tshom|Doute
thig le|Sphère, le disque lumineux
thig les|Goutte quintessentielle, bindu
thig le nyag gcig|Sphère Unique, le Dzogchen
thig le chen po|Grande Sphère essentielle, le Dzogchen
gti mug|Stupidité, l'obscurité mentale, bêtise
thim pa|S'absorber en, se résorber, plonger en, se fondre, fusionner, se mêler a
ting nge 'dzin|Recueillement méditatif, le samâdhi
ting nge 'dzin sems dpa'|Etre de samâdhi, samâdhisattva
ting nge 'dzin gsum|Trois recueillements méditatifs du Mahâyoga, les trois samâdhi
ting nge 'dzin cho 'phrul|Prodige miraculeux du recueillement méditatif, l'un des 4 Tchotrül du Yogatantra
ting nge ba|Calme, stable
gting gsal|Clarté profonde, profonde luminosité innée
mtho ris|Renaissances supérieures, les paradis divins
thob pa'i ye ces|Sagesse de l'obtention  	bar do
thod rgal|Franchissement du Pic
thog ma'i dbyings|Espace Originel, Dimension Primordiale
rtog med|Sans discursivité
rtog pa|Discursivité
rtogs pa|Réalisation spirituelle, compréhension profonde
rtogs pa'i klong gyur|Maîtrise de la réalisation
rtog dpyod|Analyse conceptuelle
mthong lam|Voie de la vision  	3ème Voie
gtong len|Méditation de prendre et donner
stong pa|Vide
stong pa nyid|Vacuité, shûnyatâ
stong gsal|Vide et lumineux
ston pa|Maître, l'instructeur, l'enseignant
stobs bcu|Dix Forces
thugs dam|Période de recueillement d'un grand méditant après sa mort
thugs ka|Cour  	lieu du corps
thugs rje|Compassion
thugs rje|Energie compatissante
thugs rje'i rtsal|Dynamisme de la compassion
stug po bkod pa'i zhing|Champ pur du Dense Arrangement
gtum mo|Pratique du violent embrasement
thub pa drug|Six Munis, les Bouddhas pour chacune des six destinées
phra dog|Jalousie
skra shad 'dra|Comme des cheveux coupés devant les yeux, exemple de fausse perception dans la vérité relative
khra bo|Bariolée, se dit notamment de l'une des caractéristiques de la Base Primordiale
khregs chod|Couper à travers l'obstination mentale
khral ma khrol|Indéfini, flou
phrin las kyi sngags|Mantra d'activités
phrin las bzhi|Quatre activités
khrid yig|Instruction pratique mise par écrit, lnstruction guide
'phro gnas|Jaillissement et repos
'phro 'du|Emissions réabsorptions de rayons lumineux
spros dang bral ba|Dénué d'élaborations, sans complications, libre de toute complication mentale
spros bral|Dénué d'élaborations, sans complications, libre de toute complication mentale
spros bral thig le chen po|Grande Sphère dénuée d'élaborations
khrol le ba|Alerte, vif
khrol le ba|Son claquant
spros med kyi dbang|Transmission de pouvoir sans élaborations
spros pa|Production mentale, l'élaboration, projection, l'accroissement
spros bcas kyi dbang|Transmission de pouvoir élaborée
'phro ba|Jaillir, s'exprimer, s'extérioriser, émaner
'phrul 'khor gyi rnal 'byor|Yantra yoga
'khrul pa|Tromperie, l'illusion, l'égarement, méprise
sprul pa|Apparition fantômatique, manifestation illusoire
sprul pa|Manifestation illusoire
sprul pa'i sku|Corps d'Apparition, Nirmânakâya
'khrul gzhi|Base d'illusion, Base d'égarement
mtshan nyid sna tshogs|Multitude des attributs
rtsa|Canal subtil, nâdî
rtsa 'dab|Pétales ou rayons des cakras
rtsa ka ti|Canal qui joint le cour au cerveau et aux yeux, utilisé en Thod rgal
rtsa rkyang ma|Canal de gauche
rtsa rlung thig le|Canaux, souffles et gouttes essentielles
rtsa dbu ma|Canal central Avadhûti
rtsa ro ma|Canal de droite
rtsa gsum|Trois racines
tsham tshom med pa|Sans hésitations
tshangs bug|orifice de Brahmâ, situé au sommet du crâne
rtsa ba|Racine, origine
rtsa ba bral ba|Sans origine, sans racines
rtsa bral|Sans origine, sans racines
tsa ba'i rgyud|Tantra racine ou principal
rtsa ba'i bla ma|Maître racine, le maître principal
tshad med pa bzhi|Quatre Incommensurables
tshe dbang|Initiation de longue vie
tshe grub|Pratique de longévité
rtsal|Energie créatrice, créativité, le dynamisme
rtsal sbyang|Entraînement, l'exercice, l'assouplissement
mtshan dang dpe byad|Marques majeures  	32 et  signes mineurs 	80 du Corps d'un Bouddha
mtshan 'dzin|S'attacher aux caractéristiques
mtshan nyid|Marque, l'attribut, caractéristique
mtshan nyid kyi theg pa|Véhicules à caractéristiques
mtshan med kyi sgom|Méditation sans attributs
mtshan med kyi rnal 'byor|Yoga sans attributs
mtshan bcas kyi rnal 'byor|Yoga avec caractéristiques
tshe gcig la|En une seule vie
rtse gcig tu gnas pa|Demeurer centré sur un seul point., être focalisé
tshe dbang gi rig 'dzin|Vidyâdhara qui a pouvoir sur la vie
rtsis gdab med pa|Sans calculs, sans préméditation, sans spéculations
tshig gi dbang|Transmission de pouvoir du mot
tshogs drug|Six consciences des sens
tshogs kyi 'khor lo|Offrande de fête, le Ganacakrapûja. Le cercle d'offrandes
tshogs lam|Voie de l'accumulation  	1ère Voie
tshogs gnyis|Double accumulation
tshol khro byed pa|Faire une recherche effrénée
tshol ba|Recherche, chercher
rtsol sgrub med pa|Sans efforts ni accomplissement
tshol med|Sans recheche
rtsol med kyi theg pa|Véhicule sans efforts, le Dzogchen
rtsol ba|Effort, le zèle, volonté
rtsol ba'i nad|Maladie du zèle
rtsod pa|Débat, disputation philosophique
tshor ba|Sensation
mtshungs pa de ma thag pa'i rkyen|Circonstance immédiate combinée
brtul zhugs|Ascèse
brtul zhugs kyi spyod pa|Ascèse folle, folle sagesse
brtul zhugs kyi spyod pa|Folle sagesse
mthun rkyen|Circonstances harmonieuses, les conditions favorables
dbang|Transmission de pouvoir, l'initiation
dbang bskur|Conférer l'initiation
dbang bskur cho 'phrul|Prodige miraculeux de la transmission de pouvoir
dbang po 'bring ba rnams|Ceux qui ont des capacites moyennes
dbang po'i sgo lnga|Cinq portes des sens
dbang po Inga|Cinq facultés des sens
dbang po rnon po rnams|Ceux qui des facultés aiguisées
dben gnas|Lieu isolé, endroit solitaire
'og gi 'khor lo|Cakras inférieurs
'og sgo|Portes inférieures, les orifices inférieurs du corps
'og min|Qui n'est inférieur à rien, Akanishtha
yab yum|Déités maculine et féminine en union
yang sangs rgyas|Ré éveil dans la Base en tant que Samantabhadra
yang dag|Vrai, authentique, correct, véridique
yang gsang bla na med pa'i skor|Cycle Insurpassable le Plus Secret
yang ti'i skor|Cycle du Yangti
ye gzhi|Base primordiale
ye gdangs|Eclat originel
ye grol|Libre depuis toujours
ye grol chen po|Grande liberté de toujours
yal ba|S'évanouir, se dissiper
yal yol|Evanescent
ye nas dag pa|Pur depuis toujours
ye nas 'du 'bral med pa|Depuis toujours ni réunis ni séparés
yengs med|Sans distraction
yer re ba|Clair, pur, inaltéré, naturel
dbyer med|Indistinction, l'inséparabilité
ye shes|Sagesse Primordiale, jnâna
ye shes mgon po|Protecteurs de Sagesse
ye shes kyi tshogs|Accumulation de Sagesse
ye shes kyi dbyings|Espace de la Sagesse
ye shes lnga|Cinq Sagesses
ye shes sems dpa'|Etre de Sagesse, jnânasattva
ye shes chen po|Grande Sagesse Primordiale
ye stong chen po|Grande vacuité de toujours, grande vacuité primordiale
yod med|Existence et inexistence
yod pa|Existence
dbye ba|Séparer, distinguer
yid|Esprit, le mental, manas
yid drug|Six sortes de mental
yi dam lha|Déité de méditation
yi ge brgya pa|Mantra des Cent syllabes de Vajrasattva
yi ge sa bon|Syllabe germe
yig 'bru|Syllabe germe
yin min|Etre et non être
dbyings|Espace, dimension
dbyings ye dbyer med|Indivisibilité de l'Espace et de la Sagesse
yid ches|Croyance
yongs grol|Liberté absolue, libération totale
yong grub|Nature ultimement existante des phénomènes, Parinishpanna
yong grub|Parinishpanna, nature ultimement existante des phénomènes
yon tan|Qualités
yon tan gyi rtsal|Dynamisme des qualités
yul|Domaine, sphère
yul|Objet
yul drug|Six objets des sens
gza' gtad med pa|Sans objectif précis, sans postulat, sans but préétabli
zang nge ba|Evident, clair, pur
zang ka ma|Aspect brut tel quel, dimension ouverte
zang thal le|D'une transparence pénétrante
gzeb tu 'ching wa|Mettre en cage, emprisonner
gzer|Clou, le point important
gzigs stangs|Mode de regard
gzugs|Forme
gzugs sku|Corps Formels, rûpakâya
gzugs kyi khams|Domaine de la forme pure
gzugs brnyan lta bu|Comme un reflet
gzugs med kyi khams|Domaine du Sans forme
zung 'jug|Union
gzung 'dzin|Sujet
gzungs ma|Dhâranî, formule
dpal kun tu bzang po la phyag 'tshal lo|Hommage au glorieux Samantabhadra !
ngo bo rnam dag bsam yul 'das pa las|son essence parfaitement pure est au-delà des objets de la pensée,
rang bzhin lhun grub snying po'i gdangs shar ba|sa nature spontanée apparaît comme la clarté essentielle,
gzung 'dzin dag pa'i sems|l'esprit où sujet et objet ont disparu
rgya chad phyogs lhung bral|ne choit pas dans les opinions extrêmes
chos kun ma skyes mnyam pa'i ngang nyid|L'égalité où tous les phénomènes sont non nés
snang sems ye grol 'dzin med phyam brdal ba|englobe sans s'y attacher les perceptions et l'esprit, libres depuis toujours.
rmad byung rgyal po sems nyid rang grol ni|C'est le roi merveilleux, l'esprit naturellement libre.
ji ltar bdag gis rtogs bzhin bshad kyis nyon|Je vous l'explique tel que je l'ai réalisé, écoutez...
lta ba rnam dag mtha' dbus med pa la|la vue absolument pure, sans limites ni centre
'di zhes mi mtshon yangs dog mtho dman med|ne se montre pas comme « ceci» : sans étendue ni hauteur
rtag chad las 'das mu bzhi'i dri ma bral|au delà de l'éternité et du néant, elle est libre des souillures des quatre extrêmes.
btsal na mi rnyed bltas pas mthong ba med|La cherche-t-on, on ne la trouve pas; l'ayant regardée, on ne la voit pas.
phyogs dang ris bral bsam yul kun las 'das|Au delà des opinions et de la partialité, en aucun cas un objet mental
grub pa'i mtha' med stong dang mi stong med|Ce n'est pas un système philosophique, elle n'est ni vide ni non vide,
rtogs dang ma rtogs rtsis gdab gza' gtad med|Elle ne dépend ni de la réalisation, ni de l'absence de réalisation, ni de calculs ou d'objectifs précis
chos kun ye nas rnam dag byang chub pas|Puisque cet éveil, l'absolue pureté primordiale de tout
ma skyes mi 'gag smra bsam brjod du med|Est sans naissance ni cessation, informulable, inconcevable et inexprimable
dag dang ma dag rang bzhin dag pa'i dbyings|la sphère où pur et impur n'ont plus d'existence
thams cad mi dmigs ma nyam rdzogs chen po nyid|Vastitude où toutes choses sont inconcevables, égales et parfaites
bcing grol med pas 'gro 'ong gnas pa med|Sans entraves ni liberté, sans allées ni venues ni résidence
snang stong kun brtags gzung 'dzin sgyu ma'i ngang|Illusion du sujet et de l'objet, concepts d'apparences et de vacuité,
'khor 'das bde sdug rmi lam bzang ngan 'dra|Samsâra et nirvana, bonheur et souffrance sont comme des beaux rêves et des cauchemars
snang dus nyid nas rang bzhin spros dang bral|Dans l'instant même où ils apparaissent, leur nature est sans complications
de las skye 'gag chen po rten 'brel nyid|Et les circonstances de création et de cessation qui en résultent
rmi lam sgyu ma mig yor dri za'i grong|un songe, une illusion magique, un mirage, une ville dans les airs,
brag ca gzugs brnyan 'dra ste ngo bo med|Sont semblables à un écho ou un reflet sans réalité
rang sangs rgyas|bouddha-par-soi ??

