bsgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
bslab pa gsum |Les trois apprentissages : l'éthique, la méditation et la sagesse.
theg pa gsum |Les trois véhicules de la tradition indo-tibétaine : des auditeurs, grand, et le véhicule adamantin ou du mantra secret. Les neuf véhicules sont une présentation des trois propre à la tradition ancienne Nyingma : le véhicule des auditeurs comprend les voies des auditeurs et des éveillés solitaires, le grand véhicule,  des bodhisattvas- est une voie unique ; le véhicule adamantin est formé des six approches des tantras de l'action, de la conduite, de l'union, du mahayoga, de l'anuyoga et de l'atiyoga.
bstan bcos |Traité est dérivé de sasti : dominer, triompher et trayate : se sauver, se protéger.
rnam gnon ngan tshul|Vikramasila. Ce monastère était une université fondée par le roi Dharmapala (770-810), que seul surpassa celui de Nalanda. Sa localisation reste incertaine, sans doute proche de la frontière actuelle entre le Bengale et le Bihar.
sdom pa gsum|Les trois voeux sont les engagements acceptés qui fournissent les bases de l'entraînement dans les trois véhicules.
ting nge 'dzin |L'absorption est parfaite équanimité dans un état de concentration.
bdag med gnyis|Les deux non-soi: des personnes (gang zag ; pugdala) et des phénomènes (chos ; dharma).
myang 'das |L'au-delà des peines: les textes en présentent quatre formes : avec résidu (lhag bcas ; sase?a), sans résidu (lhag med ; niravase?a), sans demeure (mi gnas pa ; aprati??ha), et naturel (rang bzhin ; prak?ti). Les deux premiers sont expliqués différemment suivant les perspectives philosophiques. Dans les systèmes des auditeurs le premier est la paix de l'esprit d'un destructeur de l'ennemi qui réside dans son corps, le second du même qui , une fois mort, a abandonné le corps. Dans le grand véhicule, "résidu" dénote les conceptions d'une existence réelle ;  quand le bodhisattva s'en est libéré, il est dit de lui qu'il a atteint l'au-delà des peines sans résidu, ce qu'indique cet extrait de la Précieuse Guirlande (58 ab), par Nagarjuna :   « Celui qui connaît la réalité telle qu'elle est    N'admet pas l'existence ni l'inexistence. » L'au-delà des peines sans demeure est celui d'un éveillé, éloigné aussi bien des limites du cycle que de la quiétude. L'au-delà des peines naturel renvoie à la vacuité. Parce que tous les phénomènes sont dépourvus d'existence réelle, ils sont nirvana naturel, ce qu'exprime Santideva dans Vivre en héros pour l'éveil (IX, 149) :    « Il n'existe ni cessation   Ni [production] des choses.   Tous les migrants sont de toute éternité   Sans naissance ni cessation. »
ye shes bzhi |Les quatre sagesses originelles : pareille au miroir (me long lta bu ; adarsa), de discernement (so sor rtog pa ; pratyavek?ana), d'égalité (mnyam nyid ; samata), d'accomplissement d'activités (bya grub ; k?tyanusthana).
rtsod ldan gyi dus |L'âge des conflits est la période actuelle, la dernière, de la plus grande dégénérescence, selon la cosmologie classique indienne.
nyan thos |Les auditeurs sont ainsi nommés parce qu'ils écoutent (nyan) l'enseignement, le pratiquent et aident autrui à entendre, non ce qu'ils ont reçu, mais ce qu'ils ont réalisé. Cette appellation leur est aussi attribuée car, lorsqu'ils ont entendu parler de la bouddhéité ou du chemin qui y mène, ils les annoncent (sgrogs) sans eux-mêmes les rechercher.
pha rol tu phyin pa'i lam |La voie des perfections des bodhisattvas porte sur la culture de la générosité, l'éthique, la patience, la persévérance, la méditation et la sagesse, auxquelles viennent s'ajouter l'habileté dans les méthodes, le voeu, la force et la sagesse primordiale.
gsang sngags |Mantra secret ou véhicule adamantin (rdo rje theg pa ; vajrayana), deux termes synonymes pour la voie tantrique de transformation.
pho ba|Transfert: C'est l'inconcevable passage subtil (´pho ba) entre le point final de la dixième terre d'un bodhisattva et la onzième, du parfait éveil d'un bouddha. Ce qui entrave le transfert est le plus fin des voiles : la dernière empreinte (bag chags) liée aux trois apparences, blanche, rouge et noire (snang gsum : dkar lam, dmar lam, nag lam).
dkon mchog gsum|Les trois joyaux sont le guide (le Bouddha), son enseignement (chos ; dharma) et ses adeptes (dge'dun ; sa?gha).
ma rig pa |L'ignorance : c'est l'ignorance de la nature fondamentale des choses, leur vacuité. En général, on distingue deux formes d'ignorance : celle en rapport avec l'ainsité ou vacuité (de kho na nyid la rmongs pa'i ma rig pa), racine de l'existence cyclique, et celle de la causalité, les actions et leurs résultats (las 'bras la rmongs pa'i ma rig pa).
chos dbyings |Le domaine de la réalité: la nature fondamentale des phénomènes.
khams gsum |Les trois mondes de l'existence cyclique : du désir, de la forme et du sans-forme.
cho 'phrul chen po bzhi|Les quatre grands prodiges: les bénédictions, l'initiation, l'activité et la contemplation des éveillés.
bde bar gshegs pa|Allé en la joie, une épithète appliquée aux éveillés.
'og min|Akani??ha (litt. qui n'est en dessous de rien, c'est-à-dire, le plus haut) : selon Anandagarbha, ce nom indique le corps expérientiel de Vairocana qui y réside en tant que seigneur des "plus hautes déités", les bodhisattvas de la dixième terre. On rencontre trois points de vue chez les érudits : 1) c'est le plus élevé des mondes purs ;  2) il fait partie des mondes purs, mais au-dessus d'Akani??ha ordinaires, étant le séjour des seuls bodhisattvas de la dixième terre ; 3) il n'est pas inclus dans les mondes purs. Pour Jamgön Kongtrül, Akani??ha n'est pas un lieu particulier, transcendant tous les mondes.
mngon dga'|Abhirati, Délices, la terre pure de l'éveillé Ak?obhya, située à l'est.
bde ba can|Sukhavati, Félicité, la terre pure de l'éveillé Amitabha, située à l'ouest.
mthe bo can|A?gu??ha, Taille de pouce, où la longévité n'est que de dix ans et la taille ne dépasse pas celle du pouce. L'éveillé qui y préside, Jyotirama (skar ma la dga' ba), Joie dans les étoiles, mesure un peu plus d'une coudée.
stong gsum gyi stong chen po|Un trichiliomégachiliocosme
dbang phyug chen po|Les puissants; ce sont les bodhisattvas de la dixième terre.
phyogs bcu |Les dix directions: quatre cardinales, huit collatérales, le zénith et le nadir.
tsangs ris|Groupes des purs : les cinq séjours supérieurs inclus dans les quatre recueillements de la forme.
dpag tshad|Yojana: une ancienne mesure indienne environ 14,8 km selon le tantra de Kalacakra, 7,4 km d'après le Trésor de phénoménologie.
klu|Les nagas sont des créatures animales ou semi-divines qui vivent dans l'eau ou sous la terre. Généralement serpentines, elles ont aussi forme humaine. Censées préserver les trésors souterrains, elles peuvent causer diverses maladies lorsqu'elles se sentent agressées.
sing ga la|Sri lanka
gser gling |Sumatra
zangs gling|Java (l'île de)?
tho dkar glin|Tokarling, Thukhara?
kam po dza|Kamboja,Cambodge
yul dge ba can|Kosala  (région de l'inde ancienne)
srung byed|Avanti (région de l'inde ancienne)
lnga len|Pañcala (région de l'inde ancienne)
bad sa|Matsya (région de l'inde ancienne)
dpal sde|Surasena (région de l'inde ancienne)
ma dros pa|Probablement le lac Manasarovar, situé près de la montagne sacrée Kailash, au sud du Tibet.
srin po|Les démons cannibales, littéralement "ceux dont il faut se garder", sont en général considérés comme maléfiques, ogres ou ogresses, quoique certains en font aussi des demi-dieux bienveillants.
'dod khams|Le monde du désir: ce sont les enfers, les domaines des animaux, des esprits avides, des humains, des dieux jaloux et des dieux. Les vivants y connaissent des passions grossières et les préoccupations des sens.
brgya byin|Sakra, connu aussi sous le nom d'Indra (dbang po) est un dieu majeur du panthéon hindou. Dans le bouddhisme il est le chef des dieux et un protecteur de l'enseignement.
lta ba bkar btags kyi phyag rgya bzhi|Les quatre sceaux attestant qu'une doctrine est bouddhiste: 1) tous les composés sont impermanents (sarvasa?skaranityata, 'dus byas thams cad mi rtag pa), 2) toutes les choses impures sont souffrance (zag bcas thams cad sdug bsngal ba ; sarvasasravadu?khata), 3) tous les phénomènes sont vides et dépourvus de soi (chos thams cad stong zhing bdag med pa ;  sarvadharmasunyasvamika), 4) l'au-delà des peines est la paix (mya ngan las 'das pa zhi ba ; nirva?asanta).
'dus byas thams cad mi rtag pa|Tous les composés sont impermanents
zag bcas thams cad sdug bsngal ba|Toutes les choses impures sont souffrance
chos thams cad stong zhing bdag med pa|Tous les phénomènes sont vides et dépourvus de soi
mya ngan las 'das pa zhi ba|L'au-delà des peines est la paix
gnod sbyin|Les yak?a sont des demi-dieux que l'on considère le plus souvent bienveillants, classés pourtant parfois comme esprits maléfiques. Selon le Trésor de phénoménologie les yak?a mystérieux (guhyaka), qui vivent au sommet du Mont Meru, empêchent les dieux et déesses folâtres de tomber de ses flancs. Le sanskrit yak?a semble dérivé de yak?, "vif, pressé", que les Tibétains ont rendu par gnod sbyin, "malfaisant".
brdzus skyes |Naissance apparitionnelle: C'est une naissance instantanée propre aux enfers et aux mondes divins.
gzugs khams |Le monde de la forme: un séjour céleste d'où sont absentes la souffrance physique et l'agitation mentale. Les dieux y vivent dans la contemplation, sans éprouver d'émotions.
tshangs pa|Brahma est le créateur de l'univers dans l'hindouisme. Il n'est pas un dieu ordinaire pour le bouddhisme, mais occupe un rang éminent. Aussi, les Brahma sont-ils légion, en fonction des univers.
mi g.yos ba'i las|Les actions immuables: Ces dernières reçoivent ce nom pour la raison que leur cause, une absorption stable, conduit immanquablement au niveau d'existence lui correspondant.
'phags pa |Les êtres nobles, ou supérieurs. Ceux qui ont perçu la vérité, c'est-à-dire qu'ils ont atteint le sentier de vision.
rang sang rgyas |Les bouddhas solitaires: ce sont des êtres accomplis du petit véhicule qui atteignent la libération sans dépendre d'un maître dans leur dernière existence ; ils obtiennent leur fruit à une époque sans bouddha.
rang sangs rgyas|Les bouddhas solitaires: ce sont des êtres accomplis du petit véhicule qui atteignent la libération sans dépendre d'un maître dans leur dernière existence ; ils obtiennent leur fruit à une époque sans bouddha.
dag pa'i sa|Les terres immaculées: ce sont les huitième, neuvième et dixième terres des bodhisattvas. Elles sont dites pures car les bodhisattvas de ces plans sont purifiés de l'orgueil.
dgra bcom pa|Les destructeurs de l'ennemi (arhat ,digne de vénération): ils ont vaincu les quatre démons : les passions, les agrégats, la mort, les plaisirs sensoriels. Le terme se réfère ici aux auditeurs parvenus au terme de leur parcours.
bse ru lta bu'i rang rgyal|Rhinocéros (bouddha solitaire pareil au rhinocéros) : une personne qui, tel un rhinocéros unicorne vivant seul en forêt, séparé de ses semblables, atteint sa réalisation dans la solitude.
mu stegs pa|Les Passeurs (tirthika : arrivé à la fin), un terme dépréciatif que le bouddhisme emploie pour désigner les adeptes des principales philosophies de l'hindouisme, parmi lesquelles les courants Sa?khya, Brama?a, Vedantin, Mima?saka, Jaina, Saiva, Lokayata, ceux qui ne font pas leur refuge des trois joyaux ni n'acceptent les quatre sceaux.
kun gzhi rnam shes|La base de tout ou conscience fondamentale, une connaissance posée par l'école de l'Esprit-seul issue d'Asa?ga. Elle est le réceptacle des empreintes déposées par les actions dont la maturation crée le monde phénoménal.
snga 'gyur|Les traductions anciennes: la version du canon -antérieure au traducteur Rinchen Zangpo (958-1055)- pendant la première diffusion du bouddhisme au Tibet, et principalement sous le règne de Trisong Déutsen (khri srong lde'u btsan).
kham gyi zas|Nourriture grossière qui a un goût, une odeur, une consistance et doit être avalée.
mtshams med lnga|Les cinq actions aux conséquences immédiates: le meurtre du père, de la mère, d'un destructeur de l'ennemi, créer la discorde dans la communauté monastique, blesser intentionnellement un éveillé. Elles sont dites immédiates car leur accomplissement entraîne une naissance dans un enfer sans passer par l'état intermédiaire.
bar bskal|Un âge intermédiaire: il est composé de quatre-vingts cycles qui forment quatre âges dont l'ensemble constitue une grande période cosmique.
las|Les actions physiques, verbales et mentales ; leur force cumulative imprègne le vivant pour, ultérieurement, déterminer de futures expériences.
mos pa|Roca: c'est le dernier des éveillés de l'âge fortuné.
rdo rje gdan|Le siège adamantin ou coeur de l'éveil (byang chub snying po ; bodhima??a) est le lieu où le bouddha Sakyamuni obtint la réalisation ultime.
'jig rten pa'i rig gnas|les sciences mondaines
thun mong gi rig gnas|les sciences classiques ordinaires
rig gnas lnga|les cinq sciences classiques
rigs gnas chung ba|les sciences mineures
rigs gnas chung ba lnga|les cinq sciences mineures
srid pa'i chos nyid|La nature de l'existence: elle renvoie aux lois naturelles ; l'eau qui s'écoule, le feu qui brûle..., ou aux natures inconcevables, ou encore à la vraie nature des choses.
snyigs ma lnga |Les cinq dégénérescences : 1) de la vie (tshe, ayu), 2) des vues (lta ba ; d???i), 3) des passions (nyon mongs ; klesa), 4) des êtres (sems can ; sattva), 5) du temps (dus ; kalpa).
bskal pa bzhi |Les quatre périodes : 1) de complétude (rdzogs ldan ; k?ta), 2) des trois quartiers (gsum ldan ; treta), 3) des deux quartiers (gnyis ldan ; dvapara), 4) des conflits (rtsod ldan ; kali).
rigs bzhi |Les quatre castes : 1) royale (rgyal ; k?atriya), 2) sacerdotale (bram ze ; brahma?a), 3) marchande (rje'u ; vaisya), 4) du commun (dmangs ; sudra).
rgyal po'i khab|Rajag?ha : une ancienne cité de la province du Bihar, fut un centre important du bouddhisme. Le roi Bimbisara, qui y régnait, devint un bienfaiteur du Bouddha. C'est à Rajag?ha que le Bouddha convertit Sariputra et Maudgalyayana et enseigna la deuxième roue de la doctrine, celle où il expose l'absence d'être en soi des phénomènes.
srang|Une ancienne unité de poids indienne valant environ quarante grammes, adoptée par la suite au Tibet.
bya rgod phung po'i ri |Le Pic des Vautours : c'est la plus haute colline autour de Rajag?ha.
dus kyi 'khor lo'i rgyud|Le Tantra de la Roue du temps. Selon Butön Rinpoché, il a été enseigné à Sri Dhanyaka?aka (moderne Amaravati, district de Guntur, Andhra Pradesh, Inde), l'année de l'éveil, au roi de Sambhala, Sucandra. Une autre interprétation veut que le Bouddha l'ait transmis l'année du passage au-delà des peines, à quatre-vingts ans. Il se répand en Inde aux environs de 966 et est introduit au Tibet en 1026. Dans "Roue du temps", "temps" est la félicité immuable, "roue" la vacuité spéciale enseignée dans ce tantra : celle des particules matérielles. Ainsi, Kalacakra signifie "union de la félicité immuable et de la vacuité". Ce système à plusieurs niveaux, avec ses descriptions de l'univers et du corps humain et ses techniques tantriques complexes, est lié au pays de Sambhala, lieu de son expansion.
