Tibétain,Sanskrit,Anglais,Sens racine Français,"Autres termes rencontrés",Definition,Ordre alpha tib
ting nge 'dzin ,samādhi,"samadhi (SL BP)

contemplation (SL MW)","Samadhis, 
Etats d’absorptions de l’esprit, Absorptions spirituelles,
","concentration, concentration méditative, samādhi, état (de profonde) absorption (méditative), méditation (contemplative), (état de) contemplation, stabilisation méditative, recueillement méditatif
","(TDC) ting nge 'dzin, 
(sam'adhi) yang dag par 'dzin pa ste brtag pa'i dngos po 'am dmigs pa la sems rtse gcig sbreng chags su 'dzin pa'i sems byung ngo,...

(RY) ting nge 'dzin 
Def. by Jamgön Kongtrül: {zhi rags dang bden bzhi sogs brtag bya'i dngos po la sems rtse gcig pa} one of the {'phags lam gyi yan lag brgyad} the eightfold noble path; 1) samadhi, concentration, mental focus, stabilization, *. meditative absorption; contemplation, state of contemplation, absorption, total involvement, undividedness, deep concentration, meditative concentration, holisticness, holistic experience, wholeness, *. {ting nge 'dzin 'jug ldang} entering and arising from samadhi. 3) Concentration, as one of the five object determining mental states, contemplation, meditative absorption, meditative trance. 4) one of the {byang chub yan lag bdun} the seven causes of enlightenment. 5) the three samadhis: suchness samadhi, {kun tu snang ba'i ting nge 'dzin} all-illuminating samadhi, {rgyu'i ting nge 'dzin} seed samadhi]. samadhi. 'Adhering to the continuity of evenness.' A state of undistracted concentration or meditative absorption which in the context of Vajrayana can refer to either the development stage or the completion stage.

• 'contemplation' parfois rejeté à cause de ses connotations très chrétiennes 
• implication tenir et calme alors que dans mnyam bzhag donne l'idée d'égalité 
• dans le cas du sems byung on traduira par absorption tout court 
• facteur mental d'unification de l'esprit sur un objet (GCLAvr93)
• profond – libre – demeurer dans cet état de l'esprit profond et lucide
• celui qui se tient à qqch de très profond

NB : Nous éviterons « concentration » qui évoque trop un effort et une tension, nous lui préférerons « attention ».",276
gtad pa ,"samādhi, chāgratā",,"Induire,
Induction,
Intention,
se tourner vers, s'orienter vers,","se tourner vers, s'orienter vers, prendre comme référence, diriger vers, diriger l'esprit sur l'objet, (avoir un) but, se fixer sur, objectif, finalité, fixation (de l'esprit sur qqch), (ultime) dessein, (point de) référence, se focaliser sur
donner, conférer, transmettre, confier 
introduire 
maxime
exorcisme, magie noire (gtad ka)","(TDC) gtod pa, (tha dad pa) :
1. btod pa, gtod pa, gtod,, gsar bzo 'am gsar 'dzugs,...srol bzang khag mang sngar med gsar du gtod pa,...
2. gtad pa, gtad pa, gtod,,1) bcol ba dang, sprod pa,...blo snying brang gsum gtod  pa,...las 'gan 'di nga la gtad chog  ...ca lag de dag kho rang gi lag par gtad pa yin,...'dodpa can la nor ma ston, ngan sems can la blo ma gtad,...2) kha bstan pa,...mda' 'ben la gtad nas 'phen pa,...khang pa'i rgyal sgo lho phyogs su gtad,...rkyang lho la shi yang mgo byang lag tad yong,...3) sems rtse gcig tu 'jog pa,...rna ba gtad nas nyon,...mig gtad nas dpe char lta,...dmigs

gtad pa, sbyin pa 'am sprod pa'i don du go ba'i gtod pa'i 'das pa dang ma 'ongs pa,
passé et futur de gtod pa

(RY) gtod pa :
casting; rnam pa gtod pa - casting its aspect [ggd]. to deliver up; alt. {gtod pa, gtad pa, gtad pa}; {gtod pa, btod pa, gtod pa, gtod pa} trans. v.; imp. of {gtod pa}; ft. of {gtod pa} 

(RY) gtad pa : 
alt. pf. of {gtod pa} , alt. ft. of {gtod pa}; 1) to entrust, confer; entrusted with, 2) to fixate the mind on; fix/ fixate (upon); 3) fixation; 4) firmness, steadiness, 5) focal-point, 6) to lean up on, press against; hold. II) p & f. of gtod pa which is understood as meaning to offer (sbyin pa) or to give/transmit (?) (sprod pa). {sbyin pa'am sprod pa'i don du go ba'i gtod pa'i 'das pa dang ma 'ongs pa} [mss]. gave",277
gtad so,,,"Orientation, référence, intention.",,"(RY) gtad so :
target, aim, focus, reference point, goal; (fixed) point of reference; focal point; concept, conception",278
gtan ,,,"Constant, permanent, stable, ","immuable, stable, ferme, constant, permanent, perdurant, enraciné, bien établi, inflexible, arrêté, établi fermement","(RY) gtan :
1) constant, permanent, perpetual, ever-lasting. 2) mortar, bar, door-bar,",279
gtan tshig ,hetu,"reason, reasoning (SL BP)","Raisonnement (logique), Argumentation, ","raisonnement, raison, critère, conclusion, preuve syllogistique (en logique), logique, axiomes (logiques), raison, le pourquoi","(RY) argumentation, logical argument [thd]",280
"gtan la 'bebs pa 
= gtan la dbab pa ",upadeśa,,"Arrivé à la stabilité,
(Traduction) arrivée à un état de stabilité définitive.","établir définitivement, fixer (clairement) le sens d'un enseignement, le mettre par écrit, établir la version définitive, vérifier, standardiser les écritures, version, textes définitives, poser les choses d'une façon très systématique, venir, atteindre une conclusion (définitive), établir, systématiser, coucher systématiquement par écrit, établir sa vue, sa compréhension juste","(RY) to establish, settle, ascertain, resolve, determine, come to a conclusion, arrive at certainty about, ascertaining the real condition; resolve, settle, establish, determine, conclude, put in order, ascertain, understand; systematize, set down systematically; ascertain, resolve; [sm. {gtan 'bebs byed} establishment. to come to/ reach a definitive conclusion/ understanding; to codify",281
gtan srid ,,,Existence permanente,"état de l'être authentique, s'assurer la permanence, le royaume éternel, l'état éternel","(RY) permanent domain, everlasting kingdom; permanent domain [on Vajradhara], everlasting kingdom, permanent goal",282
gti mug ,moha,,"Ignorance,
Stupidité, opacité,
Bêtise,","obscurité mentale, être ""épais”, stupidité, profond état d'ignorance, imbécillité, sottise, bêtise, ignorance (obtuse), aveuglement, indifférence, indifférent et obtus, confusion, sombre obscurité","(TDC) gti mug  
ma rig pa ste, chos kyi tshul yang dag  par ma rtogs pa 'am phyin ci log tu rtog pa'i rmongs pa,...gti mug bdo ba,...gti mug mun pa'i khung bur 'jog mi rung,...
 
(RY) gti mug :
Stupidity/lack of discernment. *, *, delusion, close-mindedness, foggy-headedness, sleepy mindedness, gloom, mental darkness, [one of the three poisons {dug gsum} deeply / intensely dull; {ma rig pa}. Delusion, *",283
gtum mo ,caṇḍālī,,"Chandali Courroucée,

","la féroce, la violente, chaleur (interne, psychique, psychophysiologique, mystique), embrasement, feu intérieur, violent embrasement, yoga de la chaleur","(TDC) gtum mo,...
1) bud med khro mo,...2) lus kyi rtsa'i bye grag cig...3) lha mo au ma,...4) gtum mo'i me'i bsdus ming,

1) un canal subtil du corps 
2) abr. gtum mo'i me : un des enseignements principaux de la phase de perfection (des tantra) (GCLAvr93)",284
gter ma ,nidhi,,"Trésor (caché et découvert),
Révélation,","trésor, richesse redécouverte, butin, mine aux trésors
trésor d'enseignements redécouverts (gter chos), spirituel, textes trésors, trésors cachés, enfouis, révélés, du Dharma, texte redécouvert, révélation","(RY) Terma, Hidden Treasure; *; [concealed and rediscovered] treasure, terma; [concealed and rediscovered] treasure, hidden teachings, terma, teachings which have been concealed and rediscovered. revealed treasures, spiritual treasures, revealed spiritual treasures. Terma. 'Treasure.' 1) The transmission through concealed treasures hidden, mainly by Guru Rinpoche and Yeshe Tsogyal, to be discovered at the proper time by a 'tertön,' a treasure revealer, for the benefit of future disciples. It is one of the two chief traditions of the Nyingma School, the other being 'Kama.' This tradition is said to continue even long after the Vinaya of the Buddha has disappeared. 2) Concealed treasures of many different kinds, including texts, ritual objects, relics, and natural objects enseignements qui ont été cachés, dissimulés, puis redécouverts",285
"gtong ba 
= sbyin pa ",,,"Donner,
Envoyer, jeter","lâcher prise, donner, générosité, charité, libéralité, cadeaux, don","“lâcher prise, trouver la liberté, voilà la parfaite générosité” GR",286
gtor ma ,"bali, baliṃ, naivedya",,"Torma,
Effigie de pâte dédiée comme offrande
","une torma, modelage d'offrande, support d'offrande, offrande propitiatoire, figurine de pâte, gâteau, offrande sacrificiel, cérémonial, offrande de biscuits rituelle, oblation","(TDC) gtor ma, 
mchod sbyin la bsngo rgyu'i zan gong,...gtor ma gtongba,...gtor ma 'bul ba,...gtor ma sbyin pa,...
effigie de pâte dédiée comme offrande
remplace les sacrifices sanguinaires, sanguins anciens, originels, s'y substitue, ersatz d'offrande sanguinaire
gtor : ce qui élimine la saisie dualiste à l'espoir et la crainte et ma : qui nous unit à la nature absolue des phénomènes",287
btags pa,prajñapti,designation (SL MW),Désignation,,,288
btang snyoms ,upekṣā,,"Equanimité, 
","état d'équanimité (de l'esprit), égalité
un des onze facteurs vertueux 
un des quatre infinis
l'indifférence
(sensation) neutre, impartialité","un des quatre infinis : c'est la pensée qui souhaite que tous les êtres en nombre infini demeurent en l'état d'équanimité, libre d'attachement envers les proches et d'aversion envers ceux qui ne le sont pas (GCLAvr93)",289
btang bzhag med pa ,,,Sans rien éliminer ni positionner,"sans rien renoncer, se débarrasser, abandonner, rejeter, éliminé,
ni/ou
adopter, accepter, établi",(RY) not holding on to some or pushing others away,290
rtag gcig rang dbang gyi bdag ,,,"Un soi permanent, independent et autonome ","c'est un soi conçu comme permanent c'est-à-dire indestructible, unique c-à-d indivisible, et indépendant c-à-d capable de s'établir par soi-même ",,291
rtag chad ,śaśvatavāda ucchedavāda,,"Eternité et néant,
Eternalisme et nihilisme,
Etre et non être","(concepts d') éternalisme, permanence, être, éternalisme a parte ante, éternel, éternité, substantialisme, matérialisme, affirmation, continuation, stabilité, durabilité, permanent, perpétuel, perdurant éternellement
et/ou 
nihilisme, annihilation, destruction, non-être, éternalisme a parte post, nul, rien, néant, négation, discontinuation, annihilé, cessation, anéantissement, nier","(TDC) rtag chad, 
bden grub tu 'dzin pa'i rtag lta dang gtan med du' dod pa'i chad lta gnyis,...
 Les deux visions : éternaliste qui saisie comme réel et nihiliste qui affirme l’irréalité.

(RY) Permanent or annihilated. Lasting forever as in an eternalistic point of view or ceasing to exist as in a nihilistic view. 1) [about view] eternalism and nihilism, permanence and termination / interruption. 2) [about phenomena] permanent or terminated / discontinued. eternalist or nihilist",292
rtag pa ,nitya,,Permanent,"permanent, perpétuel, perdurant éternellement, éternel, éternité, stabilité, durabilité, (concepts d') éternalisme, permanence, être, substantialisme, matérialisme, affirmation, continuation, toujours","déf : qui n'est pas produit par des causes et des conditions, immuable comme l'espace. (syn non-composé 'du ma byed) (GCLAvr93)",293
"rtag lta 
= rtag pa'i mtha' ",śaśvatdṛṣti,,"Eternalisme.Vision de la permanence,
","une vue qui attribue une existence réelle aux choses : concepts, vue d' éternalisme, permanence, être, éternalisme a parte ante, éternel, éternité, substantialisme, matérialisme, affirmation, continuation, stabilité, durabilité, permanent, perpétuel, perdurant éternellement",,294
rtags ,"liṅga, hetu","reason, evidence","Signes,","signe, marque, symbole, évidence, indication, signes caractéristiques, particuliers
raison, axiomes, définition
genre (gramm.)
signe de réussite, preuve (de siddhis)",,295
rten ,asraya ,,"Support,","support, base, fondement, fondation, forme, instrumental, représentations (des corps, parole et esprit du Bouddha)",,296
rten dang brten pa ,asrayapratisthana,,Support et supporté,"support et supporté, contenant et contenu, résidence et résident, le lieu et leurs habitants, le monde matériel et les êtres ",,297
"rten 'byung 
= rten cing 'brel bar 'byung ba ","pratītyasamutpāda, nidāna",,Emergence en interdépendance,"production, manifestation, apparition, existence (en relation) dépendante, en dépendance, en consécution interdépendante, relativité, interrelation, interdépendance, le support et conjoint, ce qui apparaît en dépendance, présages agissants, signes précurseurs, jeu interdépendant des phénomènes apparents, (apparition en) causalité",,298
rten 'brel ,pratītya,,"Evénement interdépendant,
Coïncidences,
Présage,","coïncidence, présage, circonstance favorable ou défavorable, concours de circonstance 
interconnexion, détermination réciproque, inter-relation, relativité ",,299
rten 'brel yen lag bcu gnyis ,dvādaśāṅga pratītyasamutpāda,,Les douze facteurs de l’émergence interdépendante.,"les douze facteurs, modes, liens de la production dépendante, interdépendants, causes, maillons, anneaux de la chaîne de causalité","celle qui caractérise la venue des êtres à l'existence conditionnée :
• il y a trois facteurs projetants : l'ignorance, les formations karmiques et la conscience 
• quatre facteurs projetés : le nom et la forme, les bases de connaissance, les sensations et le contact 
• trois facteurs accomplissants : la soif, la saisie et le devenir 
• et les deux facteurs accomplis : la naissance, le vieillissement et la mort (GCLAvr93)",300
"rtog pa 
= rtog tshogs 
→ rnam rtog ","tarka, vibhāva",,"Penser, concevoir, conceptualiser,

Penser en mode discursif,
Pensée,
Pensée discursive,

Examiner","enquêter sur, délibération, réflexion, considérer, examiner, rechercher, songer, méditer
(schémas de) pensées conceptuelles,discursives, mentales, mouvements, habitudes mentales, la foule des pensées, conceptualiser, déterminé et divisé conceptuellement, conceptualisation, concepts, considérations, cogiter, discursivité
scrupule, doute, hésitation","(TDC) rtog pa, 
1. (tha dad pa) brtags pa, brtag pa, rtogs,, rags par dpyod pa,...brgal brtags,...rang skyon la rtog pa,...gnas tshul la legs par brtags pa,...las bya ba'i sngon du ma brtags na, mthar 'gyod pa skyes pas ci la phan,...khyod cag gis rtog par gyis shig ...
2....1) le'u dang skabs,...2) bsam pa 'am rnam rtog ...3) rtog bcas rtog med kyi zlas phye ba'i rtog pa ste, sgra don 'dres rung du 'dzin pa'i zhen rig dper na bum 'dzin rtog pa lta bu, bum pa'i ming gi cha 'dra blo la snang ba dang, bum pa'i cha 'dra snang ba gnyis ka bum pa'i sgra spyi dang don spyi gnyis po 'dres pa 'am 'dres chog chog gi tshul du 'dzin pa ste snang ba'i sgo nas rang yul la zhen pa'i shes pa'o,...4) rtog dpyod gnyis kyi zlas phye ba'i rtog pa ste,gzhan 'gyur bzhi'i nang gses, sems pa dang shes rab la brten nas dmigs pa'i dngos po'i don 'ol spyi tsam 'dzin pa rtsing ba'i rnam pa can gyi shes pa'o,...

 (RY) Skt parikalpana, kalpana, 1) abstraction, activity of empirical mind, concept, conception, conceptual consciousness, conceptual thought, conceptualization, discursive thought, elaborate thought activity, examining, grasping of experience through thought, introspection, idea, imputation, intellectual systemization, intention, investigation, meditation, mental activity, notion, reflection, thinking, thought consciousness, thought construction, thought. 2) Concept, as one of the four variables, 
Def. by Jamgön Kongtrül: {'du byed kyi chos rnams la rtsings por 'jug pa'o}. 3) {rtog pa, brtags pa, brtag pa, rtogs} trans. v. , to consider, examine, conceptualize, conceive (of), search into, look through, investigate, think, to scrutinize, search into, examine, investigate, impute. attention; {legs par bsdus pa} gathering your attention. Syn {'dzin pa} to hold in mind, ponder, think about, consider. concept, examine, thought [thd]. conceptual cognition [ggd]. skyon la rtog pa - to contemplate [someone's] faults. {gang du'ang mi rtog pa} not forming any thought whatsoever",301
